Id,Title,Episodes,Year,Original channel,American company,Note,Technique,IMDb,Google users,wiki_title,wiki_short_description,wiki_summary,wiki_url,wiki_status
377,Creative Galaxy,36.0,2013-2019,Amazon Prime Video,Amazon Studios9 Story USA,Canadian co-production,CGI,5.2,60%,,,,,failed_429
379,Creepy Crawlers,23.0,1994-1996,Syndication,Sunbow Entertainment,French co-production,Traditional,6.6,92%,,,,,failed_429
381,The Cuphead Show!,36.0,2022,Netflix,Netflix Animation,Canadian co-production,Traditional,7.4,90%,,,,,failed_429
382,Curious George (1982),,1982,Nickelodeon,Atkinson Film-Arts,Canadian co-production,Traditional,7.8,96%,,,,,failed_404
384,D-TV,,1984,The Disney Channel,The Walt Disney Company,,Traditional,8.5,88%,,,,,failed_429
386,Dan Vs.,53.0,2011-2013,The Hub,Film Roman,,Flash,7.7,80%,,,,,failed_429
388,Danger Rangers,16.0,2005-2006,PBS Kids,Educational Adventures,,Traditional,7.6,88%,,,,,failed_429
393,Dastardly and Muttley in Their Flying Machines,17.0,1969-1970,CBS,Hanna-Barbera,,Traditional,7.1,91%,,,,,failed_429
395,Davey and Goliath,73.0,1961-1973,Syndication,Chokey Productions,,Stop-Motion,7.5,92%,,,,,failed_429
398,DC Super Hero Girls (2015),112.0,2015-2018,Cartoon Network,Warner Bros. AnimationDC Entertainment,,Traditional,7.1,97%,,,,,failed_429
403,Deepa & Anoop,18.0,2022-present,Netflix,Mattel Television,,CGI,8.1,59%,,,,,failed_404
405,The Deputy Dawg Show,104.0,1960-1964,Syndication,Terrytoons,,Traditional,7.0,68%,,,,,failed_404
418,Dino Pop!,36.0,2023-present,Peacock,Mobius.LabKids,,CGI,7.6,87%,,,,,failed_404
421,Dino-Riders,14.0,1988,Syndication,Marvel Productions,,Traditional,7.1,95%,,,,,failed_429
423,DJ & the Fro,12.0,2009,MTV,MTV Animation,,Flash,5.5,57%,,,,,failed_429
425,Doctor Dolittle,17.0,1970-1971,NBC,DePatie-Freleng Enterprises,,Traditional,8.0,93%,,,,,failed_429
427,Donald's Quack Attack,94.0,1992-1997,The Disney Channel,Walt Disney Productions,,Traditional,7.1,93%,,,,,failed_429
431,Dorothy and the Wizard of Oz,60.0,2017-2020,Boomerang,Warner Bros. Animation,,Traditional,6.0,63%,,,,,failed_429
436,Drawn Together,36.0,2004-2007,Comedy Central,Comedy PartnersDouble Hemm,,Traditional,7.1,92%,,,,,failed_429
439,DreamWorks Dragons: Rescue Riders,53.0,2019-2022,NetflixPeacock,DreamWorks Animation Television,,CGI,6.0,52%,,,,,failed_429
444,Duck Dodgers,39.0,2003-2005,Cartoon Network,Warner Bros. Animation,,Traditional,7.7,95%,,,,,failed_429
447,DuckTales (1987),100.0,1987-1990,Syndication,Walt Disney Television Animation,,Traditional,8.0,94%,,,,,failed_429
449,Dug Days,5.0,2021,Disney+,Pixar Animation Studios,,CGI,8.0,82%,,,,,failed_429
451,Dumb and Dumber,13.0,1995-1996,ABC,Hanna-Barbera,,Traditional,7.3,85%,,,,,failed_429
453,"Dynomutt, Dog Wonder",20.0,1976-1977,ABC,Hanna-Barbera,,Traditional,6.6,93%,,,,,failed_429
463,Diabolik,40.0,1999-2001,Fox Kids,Sunbow Entertainment,French-Italian co-production,Traditional,5.9,67%,,,,,failed_429
466,Dinosaur Train,100.0,2009-2020,PBS Kids,The Jim Henson Company,Canadian-Singaporean co-production,CGI,8.5,86%,,,,,failed_429
468,Dog City,31.0,1992-1994,Fox Kids,The Jim Henson Company,Canadian co-production,Traditional/Live-Action,7.2,80%,,,,,failed_429
474,Dota: Dragon's Blood,24.0,2021-2022,Netflix,Kaiju Boulevard,South Korean co-production,Traditional,7.7,87%,,,,,failed_429
476,Doug,117.0,1991-1999,"Nickelodeon (Seasons 1-4)
ABC (Seasons 5-7)",Jumbo PicturesGames Animation (seasons 1-4)Walt Disney Television Animation (seasons 5-7),French co-production (seasons 2-4),Traditional,7.4,89%,,,,,failed_429
478,Dragon Flyz,26.0,1996-1997,Syndication,Abrams/Gentile Entertainment,French co-production,Traditional,7.0,94%,,,,,failed_429
480,Dragon Tales,155.0,1999-2005,PBS Kids,Sesame Workshop,Canadian co-production,Traditional,8.4,95%,,,,,failed_429
483,Eagle Riders,26.0,1996-1997,Syndication,Saban Entertainment,Japanese co-production,Traditional,7.9,88%,,,,,failed_429
485,"Ed, Edd n Eddy",69.0,1999-2009,Cartoon Network,a.k.a. Cartoon,Canadian co-production,Traditional,7.5,93%,,,,,failed_429
487,Eek! The Cat,75.0,1992-1997,Fox Kids,Film Roman,Canadian co-production,Traditional,7.2,93%,,,,,failed_429
489,Elinor Wonders Why,40.0,2020-2022,PBS Kids,Pipeline Studios,Canadian co-production,Flash,8.2,78%,,,,,failed_429
495,The Epic Tales of Captain Underpants,45.0,2018-2020,Netflix,DreamWorks Animation TelevisionScholastic Corporation,,Flash,6.7,71%,,,,,failed_429
499,Eva the Owlet,16.0,2023-present,Apple TV+,,,CGI,8.3,67%,,,,,failed_404
502,Exosquad,52.0,1993-1994,Syndication,Universal Cartoon Studios,,Traditional,8.4,90%,,,,,failed_429
506,Eye Drops,13.0,2002,TechTV,,,CGI,2.1,42%,,,,,failed_429
513,Family Dog,10.0,1993,CBS,Amblin Television,Canadian co-production,Traditional,6.9,87%,,,,,failed_429
515,Famous Classic Tales,31.0,1970-1984,CBS,Ruby-Spears Enterprises,,Traditional,4.6,48%,,,,,failed_429
518,Fangface,16.0,1978-1980,ABC,Ruby-Spears Enterprises,,Traditional,6.1,90%,,,,,failed_429
519,Fantastic Four (1967),20.0,1967-1968,ABC,Hanna-Barbera,,Traditional,6.6,75%,,,,,failed_404
520,Fantastic Four (1994),26.0,1994-1996,Syndication,Marvel Entertainment,,Traditional,3.8,56%,,,,,failed_404
521,Fantastic Four: World's Greatest Heroes,26.0,2006-2010,Cartoon Network,Marvel Animation,Canadian-French co-production,Traditional,6.7,79%,,,,,failed_429
524,The Fantastic Voyages of Sinbad the Sailor,26.0,1998,Cartoon Network,Fred Wolf Films,,Traditional,7.2,93%,,,,,failed_429
527,Father of the Pride,13.0,2004-2005,NBC,DreamWorks Animation Television,,CGI,6.7,70%,,,,,failed_429
529,Farzar,10.0,2022,Netflix,Bento Box Entertainment,,Traditional,5.6,63%,,,,,failed_429
538,Fired on Mars,8.0,2023-present,HBO Max,Pat & Mike Productions,,Traditional,6.9,82%,,,,,failed_429
540,Fish Hooks,110.0,2010-2014,Disney Channel,Disney Television Animation,,Traditional,4.9,84%,,,,,failed_429
550,Forky Asks a Question,10.0,2019-2020,Disney+,Pixar Animation Studios,,CGI,6.6,84%,,,,,failed_429
552,Four Eyes!,24.0,2006,Nicktoons Network,PorchLight Entertainment,French co-production,Traditional,7.4,88%,,,,,failed_429
558,Frankenguy and the Professor,8.0,1997-2002,Playhouse Disney,Colossal Pictures,,Traditional,4.6,48%,,,,,failed_429
560,The Freak Brothers,12.0,2021-present,Tubi,Lionsgate Television,,Flash,6.0,59%,,,,,failed_429
568,The Freedom Force,5.0,1978,ABC,Filmation,,Traditional,8.0,88%,,,,,failed_429
570,Friday: The Animated Series,7.0,2006,MTV2,MTV Animation,,Flash,6.0,92%,,,,,failed_429
573,Frog in a Suit,3.0,2011,YouTube,Joe Murray Productions,,Flash,7.8,85%,,,,,failed_404
583,G.I. Joe: A Real American Hero (1983),95.0,1983-1986,Syndication,Sunbow Entertainment,,Traditional,8.0,86%,,,,,failed_429
584,G.I. Joe: A Real American Hero (1989),44.0,1989-1992,Syndication,DIC Entertainment,,Traditional,7.2,80%,,,,,failed_404
591,Gadget Boy & Heather,52.0,1995-1998,Syndication,DIC Entertainment,French co-production,Traditional,6.7,67%,,,,,failed_429
593,Galtar and the Golden Lance,21.0,1985-1986,Syndication,Hanna-Barbera,,Traditional,7.1,76%,,,,,failed_429
595,Gargoyles,78.0,1994-1997,Syndication,Walt Disney Television Animation,Canadian co-production (season 3 only),Traditional,8.0,92%,,,,,failed_429
597,The Garfield Show,107.0,2009-2016,Cartoon NetworkBoomerang,"Paws, Inc.",French co-production,CGI,5.5,76%,,,,,failed_429
599,Gary & Mike,13.0,2001,UPN,Bahr-Small Productions,,Stop-Motion,7.4,97%,,,,,failed_429
601,Gary the Rat,26.0,2003,Spike TV,Spike Animation Studios,,Flash,6.5,68%,,,,,failed_429
602,Gemusetto,20.0,2019-2020,Adult Swim,Williams Street,,Traditional,6.6,52%,,,,,failed_404
603,Gen:Lock,16.0,2019-2021,Rooster TeethHBO Max,Rooster Teeth Studios,,CGI,7.2,74%,,,,,failed_429
610,George of the Jungle (2007),52.0,2007-2017,Cartoon Network,Jay Ward Productions,Canadian co-production,Flash,4.3,85%,,,,,failed_429
613,The Get Along Gang,13.0,1984,CBS,DIC Entertainment,French co-production,Traditional,7.1,95%,,,,,failed_429
619,"Glenn Martin, DDS",40.0,2009-2011,Nick at Nite,The Tornante Company,Canadian co-production,Stop-Motion,4.4,65%,,,,,failed_429
621,The Glo Friends,26.0,1986-1987,Syndication,Sunbow Productions,,Traditional,6.6,94%,,,,,failed_429
622,"Go Away, Unicorn!",52.0,2018-2019,Disney Channel,Sonar Entertainment,Canadian co-production,Flash,5.4,65%,,,,,failed_429
623,"Go, Baby!",10.0,2004,Playhouse Disney,Little Airplane Productions,,Flash,7.3,56%,,,,,failed_429
624,"Go, Diego, Go!",80.0,2005-2011,Nickelodeon,Nickelodeon Animation Studio,,Traditional,4.3,78%,,,,,failed_429
625,"Go, Dog. Go!",26.0,2021-present,Netflix,DreamWorks Animation Television,Canadian co-production,CGI,7.3,64%,,,,,failed_429
626,Go Go Gophers,48.0,1968-1969,CBS,"Total Television
Leonardo Television",,Traditional,7.3,89%,,,,,failed_429
627,Goober and the Ghost Chasers,16.0,1973,ABC,Hanna-Barbera,,Traditional,6.2,70%,,,,,failed_429
628,"God, the Devil and Bob",13.0,"2000, 2011",NBCAdult Swim,Carsey-Werner Productions,,Traditional,7.5,82%,,,,,failed_429
629,The Goddamn George Liquor Program,8.0,1997,,Spümcø,,Flash,5.4,75%,,,,,failed_429
630,Godzilla,26.0,1978-1979,NBC,Hanna-Barbera,,Traditional,6.2,88%,,,,,failed_429
631,Godzilla: The Series,40.0,1998-1999,Fox Kids,Adelaide Productions,Japanese co-production,Traditional,6.8,96%,,,,,failed_429
632,Golan the Insatiable,12.0,2013-2015,Fox,ADHD Studios,,Flash,6.6,55%,,,,,failed_429
633,Goldie & Bear,107.0,2015-2018,Disney Junior,"Titmouse, Inc.",,CGI,6.2,76%,,,,,failed_429
634,Goldie Gold and Action Jack,13.0,1981,ABC,Ruby-Spears Enterprises,,Traditional,7.6,93%,,,,,failed_429
635,"Good Morning, Mickey!",80.0,1983-1992,The Disney Channel,Walt Disney Productions,,Traditional,7.2,85%,,,,,failed_429
636,Good Morning Today,20.0,2013-2014,Fusion TV,The Jim Henson Company,,CGI,6.4,74%,,,,,failed_429
637,Good Vibes,13.0,2011,MTV,MTV Animation,,Flash,7.4,82%,,,,,failed_429
638,The Goode Family,13.0,2009,ABC,Judgmental Films,,Traditional,6.4,57%,,,,,failed_429
639,Goof Troop,78.0,1992,Syndication,Walt Disney Television Animation,,Traditional,6.8,88%,,,,,failed_429
640,Gotham Girls,30.0,2000-2002,warnerbros.com,Warner Bros. Animation,,Flash,7.2,96%,,,,,failed_429
641,Gravedale High,13.0,1990,NBC,Hanna-Barbera,,Traditional,6.5,95%,,,,,failed_429
642,Gravity Falls,40.0,2012-2016,Disney Channel (2012-14)Disney XD (2014-16),Disney Television Animation,,Traditional,8.9,96%,,,,,failed_429
643,The Great Grape Ape Show,16.0,1975,ABC,Hanna-Barbera,,Traditional,6.9,85%,,,,,failed_429
644,The Great North,55.0,2021-present,Fox,Wilo Productions,,Flash,6.8,67%,,,,,failed_429
645,Greatest Party Story Ever,20.0,2016,MTV,ShadowMachineMTV Animation,,Flash,7.9,86%,,,,,failed_429
646,Green Eggs and Ham,23.0,2019-2022,Netflix,Warner Bros. Animation,,Traditional,8.1,80%,,,,,failed_429
647,Green Lantern: The Animated Series,26.0,2011-2013,Cartoon Network,Warner Bros. AnimationDC Entertainment,,CGI,8.0,80%,,,,,failed_429
648,Gremlins: Secrets of the Mogwai,10.0,2023-present,Max,Warner Bros. Animation,,CGI,7.1,75%,,,,,failed_429
649,The Grim Adventures of Billy & Mandy,84.0,2003-2007,Cartoon Network,Cartoon Network Studios,,Traditional,7.7,94%,,,,,failed_429
650,Grim & Evil,27.0,2001-2004,Cartoon Network,Cartoon Network Studios,,Traditional,7.7,94%,,,,,failed_429
651,Grimsburg,1.0,2024-present,Fox,Bento Box Entertainment,,Flash,5.6,47%,,,,,failed_429
652,Growing Up Creepie,26.0,2006-2008,Discovery Kids,Mike Young Productions,Canadian co-production,Flash,7.1,94%,,,,,failed_429
653,The Guardians of Justice,9.0,2022,Netflix,Bootleg Universe,,Live-Action/Traditional,5.1,47%,,,,,failed_429
654,Guardians of the Galaxy,79.0,2015-2019,Disney XD,Marvel Animation,,Traditional,7.3,70%,,,,,failed_429
655,The Gumby Show,43.0,1956,NBC,"Clokey Productions
Premavision",,Stop-Motion,7.0,82%,,,,,failed_429
656,Hailey's On It!,15.0,2023-present,Disney Channel,Disney Television Animation,,Traditional,7.2,80%,,,,,failed_429
657,Hamster & Gretel,19.0,2022-present,Disney Channel,Disney Television Animation,,Traditional,6.8,74%,,,,,failed_429
658,Hanazuki: Full of Treasures,35.0,2017-2019,YouTubeDiscovery Family,"Titmouse, Inc",,Flash,8.0,90%,,,,,failed_429
659,The Hanna-Barbera New Cartoon Series,52.0,1962-1963,Syndication,Hanna-Barbera,,Traditional,7.6,93%,,,,,failed_429
660,Hanna-Barbera's World of Super Adventure,129.0,1978-1984,Syndication,Hanna-Barbera,,Traditional,8.4,97%,,,,,failed_429
661,Happily Ever After: Fairy Tales for Every Child,39.0,1995-2000,HBO,Hyperion Animation,,Traditional,6.8,84%,,,,,failed_429
662,Hard Drinkin' Lincoln,16.0,2000-2002,,icebox.com,,Flash,5.6,74%,,,,,failed_429
663,Harlem Globetrotters,22.0,1970-1971,CBS,Hanna-Barbera,,Traditional,6.2,92%,,,,,failed_429
664,HarmonQuest,30.0,2016-2019,SeesoVRV,Universal Content Productions,,Flash/Live-Action,8.3,71%,,,,,failed_429
665,Harriet the Spy,20.0,2021-present,Apple TV+,The Jim Henson Company,,Flash,5.9,50%,,,,,failed_429
666,Harley Quinn,47.0,2019-present,DC UniverseMax,Warner Bros. AnimationDC Entertainment,,Traditional,8.4,79%,,,,,failed_429
667,Harold and the Purple Crayon,13.0,2001-2002,HBO Family,Adelaide Productions,,Traditional,7.9,86%,,,,,failed_429
668,The Harper House,10.0,2021,Paramount+,CBS Eye Animation Productions,,Flash,5.3,56%,,,,,failed_429
669,"Harvey Birdman, Attorney at Law",39.0,2000-2007,Adult Swim,Cartoon Network Studios (season 1)Williams Street,,Flash,8.0,90%,,,,,failed_429
670,Harvey Girls Forever!,52.0,2018-2020,Netflix,DreamWorks Animation Television,,Traditional,6.9,58%,,,,,failed_429
671,The Harveytoons Show,78.0,1950-1964,Syndication,Famous Studios,,Traditional,6.1,93%,,,,,failed_429
672,Have a Laugh!,60.0,2009-2012,Disney Channel,Disney Television Animation,,Traditional,4.1,54%,,,,,failed_429
673,Hazbin Hotel,8.0,2024-present,Amazon Prime Video,"SpindleHorse Toons
A24
Bento Box Entertainment",,Traditional,7.8,94%,,,,,failed_429
674,HBO Storybook Musicals,18.0,1987-1993,HBO,Michael Sporn AnimationKlasky CsupoCinarRandom House,,Traditional,8.5,95%,,,,,failed_429
675,HBTV,,1985-1987,Syndication,Hanna-Barbera,,Traditional,5.2,68%,,,,,failed_429
676,He-Man and the Masters of the Universe (1983),130.0,2002-2004,Syndication,Filmation,,Traditional,7.5,88%,,,,,failed_429
677,He-Man and the Masters of the Universe (2021),26.0,2021-2022,Netflix,Mattel Television,,CGI,6.9,55%,,,,,failed_429
678,The Head,14.0,1994,MTV,Fogelmania ProductionsMTV Animation,,Traditional,7.0,79%,,,,,failed_429
679,Headspace Guide to Meditation,8.0,2021,Netflix,Headspace Studios,,Flash,8.4,92%,,,,,failed_429
680,Headspace Guide to Sleep,7.0,2021,Netflix,Headspace Studios,,Flash,6.8,83%,,,,,failed_429
681,Heathcliff (1980),26.0,1980-1981,ABC,Ruby-Spears Enterprises,,Traditional,6.5,84%,,,,,failed_429
682,Heathcliff (1984),86.0,1984-1985,Syndication,DIC Entertainment,,Traditional,6.6,89%,,,,,failed_429
683,Hell Den,12.0,2019-2020,DrinkTVSyfy,Dr. God Productions,,Flash,5.5,34%,,,,,failed_429
684,Helluva Boss,15.0,2020-present,YouTube,SpindleHorse Toons,,Flash,8.2,97%,,,,,failed_429
685,Help!... It's the Hair Bear Bunch!,20.0,1976-1977,CBS,Hanna-Barbera,,Traditional,6.3,86%,,,,,failed_429
686,Henry Hugglemonster,49.0,2013-2015,Disney Junior,Brown Bag Films,,CGI,5.3,77%,,,,,failed_429
687,Hercules,65.0,1998-1999,ABC,Walt Disney Television Animation,,Traditional,6.6,86%,,,,,failed_429
688,The Herculoids,18.0,1967-1968,CBS,Hanna-Barbera,,Traditional,7.4,95%,,,,,failed_429
689,Here Comes the Grump,17.0,1969-1970,NBC,DePatie-Freleng Enterprises,,Traditional,7.4,90%,,,,,failed_429
690,Hermie and Friends,16.0,2002-2010,Direct to video,"GlueWorks Entertainment
Tommy Nelson",,CGI,7.0,88%,,,,,failed_429
691,Hero High,26.0,1981-1982,NBC,Filmation,,Traditional,6.9,85%,,,,,failed_429
692,Hey Arnold!,100.0,1996-2004,Nickelodeon,Nickelodeon Animation Studio,,Traditional,7.6,92%,,,,,failed_429
693,"Heyyy, It's the King!",13.0,1977,NBC,Hanna-Barbera,,Traditional,6.0,74%,,,,,failed_429
694,Hey Joel,13.0,2003,VH1,Curious Pictures,,Flash,5.7,54%,,,,,failed_429
695,Hey Monie!,25.0,2003,BET,Soup2Nuts,,Flash,8.1,94%,,,,,failed_429
696,Hi Hi Puffy AmiYumi,39.0,2004-2006,Cartoon Network,Renegade AnimationCartoon Network Studios,,Flash,6.3,94%,,,,,failed_429
697,Higglytown Heroes,65.0,2004-2008,Playhouse Disney,Wild Brain,,CGI,4.9,90%,,,,,failed_429
698,The High Fructose Adventures of Annoying Orange,60.0,2012-2014,Cartoon Network,"Annoying Orange, Inc.",,Live-Action/Flash,1.9,71%,,,,,failed_429
699,High Guardian Spice,12.0,2021,Crunchyroll,Crunchyroll Studios,,Traditional,1.5,12%,,,,,failed_429
700,The Hillbilly Bears,26.0,1965-1967,NBC,Hanna-Barbera,,Traditional,6.7,93%,,,,,failed_429
701,Histeria!,52.0,1998-2000,Kids' WB,Warner Bros. Animation,,Traditional,7.7,89%,,,,,failed_429
702,Hit-Monkey,10.0,2021,Hulu,Floyd County Productions,,Traditional,7.8,70%,,,,,failed_429
703,HobbyKids Adventures,27.0,2019-2020,YouTube,"PocketWatch, Inc.",,Flash,3.3,63%,,,,,failed_429
704,Hokey Wolf,28.0,1960-1961,Syndication,Hanna-Barbera,,Traditional,6.4,95%,,,,,failed_429
705,Holly Hobbie & Friends,8.0,2006-2009,Nickelodeon,Nickelodeon Animation StudioAmerican Greetings,,Traditional,7.6,96%,,,,,failed_429
706,Home: Adventures with Tip & Oh,52.0,2016-2018,Netflix,DreamWorks Animation Television,,Flash,6.2,63%,,,,,failed_429
707,Home Movies,52.0,1999-2004,UPNAdult Swim,Tom Synder Productions,,Flash,8.2,90%,,,,,failed_429
708,Hoops,10.0,2020,Netflix,Pepper Hill Productions,,Flash,6.0,76%,,,,,failed_429
709,Hong Kong Phooey,16.0,1974,ABC,Hanna-Barbera,,Traditional,6.9,91%,,,,,failed_429
710,Hopeless Pictures,9.0,2005,IFC,Noodlesoup Productions,,Flash,7.1,47%,,,,,failed_429
711,Hoppity Hooper,104.0,1964-1967,ABC,Jay Ward Productions,,Traditional,7.8,94%,,,,,failed_429
712,Horseland,45.0,2006-2008,CBS,DIC Entertainment,,Traditional,6.0,89%,,,,,failed_429
713,Hot Streets,20.0,2018-2019,Adult Swim,Williams Street,,Stop-Motion,5.9,64%,,,,,failed_429
714,Hot Wheels,17.0,1969-1971,ABC,Ken Snyder Properties,,Traditional,7.4,84%,,,,,failed_429
715,Hot Wheels Let's Race,10.0,2024,Netflix,Mattel Television,,CGI,7.5,77%,,,,,failed_429
716,The Houndcats,13.0,1972,NBC,DePatie-Freleng Enterprises,,Traditional,7.0,87%,,,,,failed_429
717,House of Cosbys,4.0,2005,Channel 101,,,Flash,7.3,92%,,,,,failed_429
718,House of Mouse,52.0,2001-2003,"ABC
Toon Disney",Walt Disney Television Animation,,Traditional,7.5,96%,,,,,failed_429
719,HouseBroken,26.0,2021-present,Fox,Bento Box Entertainment,,Traditional,6.4,73%,,,,,failed_429
720,How to Stay at Home,3.0,2021,Disney+,Disney Television Animation,,Traditional,6.7,63%,,,,,failed_429
721,The Huckleberry Hound Show,57.0,1958-1961,Syndication,Hanna-Barbera,,Traditional,6.6,90%,,,,,failed_429
722,Hulk Hogan's Rock 'n' Wrestling,26.0,1985-1986,CBS,DIC Entertainment,,Traditional,6.1,89%,,,,,failed_429
723,Human Discoveries,10.0,2019,Facebook Watch,ShadowMachine,,Flash,7.0,97%,,,,,failed_429
724,Human Kind Of,21.0,2018,Facebook Watch,Cartuna,,Traditional,7.3,96%,,,,,failed_429
725,Human Resources,20.0,2022-2023,Netflix,"Titmouse, Inc.",,Flash,7.1,78%,,,,,failed_429
726,Hammerman,13.0,1991-1992,ABC,DIC Entertainment,Canadian-Italian co-production,Traditional,3.9,69%,,,,,failed_429
727,Handy Manny,113.0,2006-2013,Playhouse Disney,Disney Television Animation,Canadian co-production,CGI,5.6,89%,,,,,failed_429
728,Happy Monster Band,20.0,2007-2008,Playhouse Disney,Kickstart Productions,British co-production,Flash,7.5,88%,,,,,failed_429
729,Happy Ness: The Secret of the Loch,13.0,1995,,Abrams/Gentile Entertainment,French co-production,Traditional,8.0,96%,,,,,failed_429
730,Happy Tree Friends,13.0,2006,G4,Mondo Media,Canadian co-production,Flash,7.0,86%,,,,,failed_429
731,Harvey Beaks,52.0,2015-2017,Nickelodeon,Nickelodeon Animation Studio,The last 15 episodes aired on Nicktoons in 2017.,Traditional,7.1,84%,,,,,failed_429
732,He-Man and the Masters of the Universe (2002),39.0,2002-2004,Cartoon Network,Mike Young Productions,Canadian co-production,Traditional,7.5,94%,,,,,failed_429
733,Hello Kitty's Furry Tale Theater,13.0,1987,CBS,DIC Entertainment,Canadian-Japanese co-production,Traditional,6.6,89%,,,,,failed_429
